z,theoretical,,,,,,real,,,,,,measured,,,predicted,,,,,,,,,,,,filtered,,,,,,,,,,,,smoothed,,,,,,,,,,,
z,t,x,y,speeed,xz,yz,t,x,y,speeed,xz,yz,t,x,y,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz
0.,0,0,0,3.94373e-09,7.64881e-05,-6.40786e-05,0,0,0,3.94373e-09,7.64881e-05,-6.40786e-05,0,0,0,0,1e-06,0,1,0,1,3.33564e-09,0.0001,0,10000,0,10000,0,1e-06,0,1,0,1,3.33564e-09,0.0001,0,10000,0,10000,5.65175e-12,1.52168e-11,2.70699e-06,-nan,1.07276e-06,-nan,3.87932e-09,9.07297e-10,2.24693e-05,0,-8.95065e-05,0
0.01,3.94373e-11,7.64881e-07,-6.40786e-07,3.94373e-09,7.64881e-05,-6.40786e-05,4.45648e-11,5.25237e-07,-1.04677e-06,4.0268e-09,9.86556e-05,-2.0699e-05,4.64893e-11,3.47064e-06,8.70253e-07,0,1e-06,0,1,0,1,3.33564e-09,0.0001,0,10000,0,10000,4.64893e-11,1e-11,3.47064e-06,1e-06,8.70253e-07,1e-06,3.50549e-09,1.41421e-09,-6.43202e-05,0.000141421,-0.000218995,0.000141421,4.4445e-11,8.191e-12,2.93168e-06,8.01157e-07,1.77693e-07,8.01157e-07,3.87932e-09,6.14921e-10,2.24693e-05,5.42172e-05,-8.95065e-05,5.42172e-05
0.02,7.88746e-11,1.52976e-06,-1.28157e-06,3.94373e-09,7.64881e-05,-6.40786e-05,8.85986e-11,1.91291e-06,-7.44809e-07,4.07786e-09,0.000124426,-2.90043e-05,8.15442e-11,2.82744e-06,-1.3197e-06,8.15442e-11,1.80278e-11,2.82744e-06,1.80278e-06,-1.3197e-06,1.80278e-06,3.50549e-09,1.56367e-09,-6.43202e-05,0.00015,-0.000218995,0.00015,8.15442e-11,8.74475e-12,2.82744e-06,8.74475e-07,-1.3197e-06,8.74475e-07,3.50549e-09,1.22633e-09,-6.43202e-05,0.000114404,-0.000218995,0.000114404,8.27271e-11,6.32221e-12,3.02164e-06,6.1454e-07,-8.90512e-07,6.1454e-07,4.0535e-09,5.16483e-10,4.67919e-05,4.52659e-05,-5.60065e-05,4.52659e-05
0.03,1.18312e-10,2.29464e-06,-1.92236e-06,3.94373e-09,7.64881e-05,-6.40786e-05,1.29441e-10,3.13012e-06,-1.50757e-06,4.11685e-09,0.000122449,1.86775e-06,1.23976e-10,1.7436e-06,-2.32722e-06,1.16599e-10,1.86004e-11,2.18424e-06,1.80685e-06,-3.50965e-06,1.80685e-06,3.50549e-09,1.39605e-09,-6.43202e-05,0.000124853,-0.000218995,0.000124853,1.22322e-10,8.8078e-12,1.84692e-06,8.74938e-07,-2.60448e-06,8.74938e-07,3.8321e-09,1.03672e-09,-8.27053e-05,9.03537e-05,-0.000169659,9.03537e-05,1.23047e-10,6.10964e-12,3.40337e-06,5.84773e-07,-1.51642e-06,5.84773e-07,4.26602e-09,4.82987e-10,7.97335e-05,4.13451e-05,-1.59221e-05,4.13451e-05
0.04,1.57749e-10,3.05953e-06,-2.56314e-06,3.94373e-09,7.64881e-05,-6.40786e-05,1.75907e-10,4.46403e-06,-1.22146e-06,4.15342e-09,0.000110317,-1.81405e-05,1.63336e-10,5.54953e-06,-2.23285e-06,1.60643e-10,1.72801e-11,1.01987e-06,1.63291e-06,-4.30107e-06,1.63291e-06,3.8321e-09,1.23282e-09,-8.27053e-05,0.000103266,-0.000169659,0.000103266,1.62661e-10,8.65519e-12,4.31407e-06,8.5279e-07,-2.79695e-06,8.5279e-07,3.93463e-09,9.70625e-10,6.97034e-05,8.07035e-05,-0.00010007,8.07035e-05,1.65259e-10,6.12467e-12,4.52945e-06,5.85525e-07,-1.53878e-06,5.85525e-07,4.55825e-09,4.77098e-10,7.98e-05,4.02503e-05,1.04765e-05,4.02503e-05
0.05,1.97187e-10,3.82441e-06,-3.20393e-06,3.94373e-09,7.64881e-05,-6.40786e-05,2.22945e-10,5.51953e-06,-1.26196e-06,4.21416e-09,5.58153e-05,-9.75225e-06,2.0662e-10,5.04848e-06,-6.51875e-07,2.02007e-10,1.64398e-11,5.01111e-06,1.51707e-06,-3.79765e-06,1.51707e-06,3.93463e-09,1.17778e-09,6.97034e-05,9.49371e-05,-0.00010007,9.49371e-05,2.05374e-10,8.54356e-12,5.03716e-06,8.34929e-07,-1.60471e-06,8.34929e-07,4.09944e-09,9.56335e-10,7.08218e-05,7.78314e-05,-5.95153e-06,7.78314e-05,2.10874e-10,6.13776e-12,5.40118e-06,5.87302e-07,-1.12364e-06,5.87302e-07,4.84461e-09,4.76939e-10,7.24934e-05,4.02494e-05,5.83785e-06,4.02494e-05
0.06,2.36624e-10,4.58929e-06,-3.84472e-06,3.94373e-09,7.64881e-05,-6.40786e-05,2.66367e-10,6.23182e-06,-7.9438e-07,4.37738e-09,5.88845e-05,-4.83308e-05,2.63908e-10,6.70706e-06,9.90164e-07,2.46368e-10,1.61525e-11,5.74538e-06,1.46672e-06,-1.66422e-06,1.46672e-06,4.09944e-09,1.16603e-09,7.08218e-05,9.2508e-05,-5.95153e-06,9.2508e-05,2.59048e-10,8.50245e-12,6.40189e-06,8.26236e-07,1.47838e-07,8.26236e-07,4.71755e-09,9.5469e-10,9.84388e-05,7.71939e-05,7.02759e-05,7.71939e-05,2.60417e-10,6.15888e-12,6.28802e-06,5.87751e-07,-8.72835e-07,5.87751e-07,4.93576e-09,4.83338e-10,4.89961e-05,4.15238e-05,-1.80439e-05,4.15238e-05
0.07,2.76061e-10,5.35417e-06,-4.4855e-06,3.94373e-09,7.64881e-05,-6.40786e-05,3.15156e-10,6.6183e-06,-1.24827e-06,4.38983e-09,2.21884e-05,-7.35106e-05,3.11442e-10,7.54479e-06,-2.35114e-06,3.06224e-10,1.60909e-11,7.38628e-06,1.45014e-06,8.50596e-07,1.45014e-06,4.71755e-09,1.16469e-09,9.84388e-05,9.19723e-05,7.02759e-05,9.19723e-05,3.09988e-10,8.49343e-12,7.4937e-06,8.23238e-07,-1.31929e-06,8.23238e-07,4.90128e-09,9.54705e-10,0.00010295,7.71088e-05,-2.08433e-05,7.71088e-05,3.09999e-10,6.15874e-12,6.83513e-06,5.87004e-07,-1.32659e-06,5.87004e-07,4.98707e-09,5.28715e-10,1.9784e-05,4.65332e-05,-1.45938e-05,4.65332e-05
0.08,3.15498e-10,6.11905e-06,-5.12629e-06,3.94373e-09,7.64881e-05,-6.40786e-05,3.60727e-10,6.82943e-06,-2.15332e-06,4.43221e-09,8.32769e-05,6.83141e-06,3.57484e-10,7.11905e-06,-1.76517e-06,3.59001e-10,1.60845e-11,8.5232e-06,1.4462e-06,-1.52772e-06,1.4462e-06,4.90128e-09,1.1647e-09,0.00010295,9.19008e-05,-2.08433e-05,9.19008e-05,3.57907e-10,8.49249e-12,7.57325e-06,8.22515e-07,-1.68836e-06,8.22515e-07,4.84784e-09,9.54679e-10,6.30182e-05,7.71074e-05,-2.75959e-05,7.71074e-05,3.59732e-10,6.32436e-12,6.9127e-06,6.14569e-07,-1.48971e-06,6.14569e-07,5.06277e-09,6.82825e-10,2.59864e-06,5.86968e-05,-9.42558e-06,5.86968e-05
0.09,3.54936e-10,6.88393e-06,-5.76708e-06,3.94373e-09,7.64881e-05,-6.40786e-05,4.09459e-10,7.07195e-06,-2.45981e-06,4.43602e-09,3.96203e-05,-4.74123e-05,4.12486e-10,6.07942e-06,-1.32556e-06,4.06385e-10,1.60846e-11,8.20343e-06,1.44563e-06,-1.96432e-06,1.44563e-06,4.84784e-09,1.16468e-09,6.30182e-05,9.18996e-05,-2.75959e-05,9.18996e-05,4.10785e-10,8.49251e-12,6.76684e-06,8.22411e-07,-1.53229e-06,8.22411e-07,5.06277e-09,9.54625e-10,2.59864e-06,7.71059e-05,-9.42558e-06,7.71059e-05,4.10785e-10,8.49251e-12,6.76684e-06,8.22411e-07,-1.53229e-06,8.22411e-07,5.06277e-09,9.54625e-10,2.59864e-06,7.71059e-05,-9.42558e-06,7.71059e-05
